CCS,Coal(KG/T),Bentonite(KG/T),Furnance oil(LITR/T),i/m speed (m/min),Total Bed height (mm),lime + Coal(%),T1,T2,T3,T4,T5,T6,T7,T8,production quantity,Tumble Index%,Abration Index%,Mean Dia(mm),Porosity Pellet%,Input Fe( Raw material)%,Output Fe(Pellets)%
186,14.99,3.98,12,3.07,462.1666667,3.666666667,850,966.6666667,1033.333333,1080,1093.333333,1100,1106.666667,900,9540,93.55,4.58,11.73,23.26,61.33,62.08
186,14.99,4,14,2.893333333,472.5,3.5,850,950,1100,1200,1280,1280,1280,900,11010,92.8,5.37,12.26,23.71,62.07,62.82
186,14.96,3.93,13,2.883333333,488.8333333,3.566666667,900,1010,1100,1200,1300,1280,1280,966.6666667,11695,93.12,4.93,12.46,23.73,61.83,62.62
186,13.55,5.72,27,2.65,480,3.266666667,920,1020,1160,1260,1300,1280,1280,1080,3320,93.3,5.03,11.48,24.23,61.85,62.91
186,13.3,6.05,12.54,3.016666667,504.8333333,3.1,900,1000,1100,1180,1260,1200,1200,1120,12560,93.51,4.67,12.29,24.65,62.76,63.4
186,13,3.91,14,2.753333333,488.1666667,3.4,900,1000,1100,1200,1280,1250,1250,900,12020,92.66,5.42,12.15,23.46,62.12,63.1
186,12.93,3.85,15,3.1,476.1666667,3.383333333,820,1100,1150,1220,1300,1290,1250,980,11675,92.67,5.39,12.28,23.71,61.92,63.04
186,12.86,4.98,12.27,3,514.6666667,3.3,900,1000,1100,1180,1260,1200,1200,1120,13065,93.43,4.71,12.33,23.9,62.77,63.52
186,12,3.91,17,2.866666667,501,3.4,950,1050,1150,1240,1280,1250,1150,900,11005,93.81,4.48,12.05,23.49,61.85,62.79
186,11.91,3.91,17,2.566666667,511.1666667,3.4,950,1050,1150,1240,1280,1250,1170,880,11250,93.27,5.05,12.23,23.86,61.85,62.85
186,11.06,3.66,11,2.75,512.6666667,3.666666667,900,1000,1100,1200,1250,1280,1200,1116.666667,12020,93.54,4.91,12.22,23.03,62.94,63.62
186,9.02,3.97,15,3.25,499,3.5,900,1020,1130,1250,1280,1300,1310,1000,13865,91.73,6.64,12.53,22.2,62.75,63.56
187,15,4.47,14,2.856666667,498.6666667,3.666666667,900,1080,1160,1260,1300,1280,1280,1100,10280,93.13,5.18,11.79,24.2,61.88,62.71
187,15,4,15,2.85,484.8333333,3,900,1030,1150,1220,1280,1280,1280,1000,12000,92.83,5.37,11.76,24.08,61.68,62.47
187,15,3.95,13,3,481.3333333,3.25,900,1000,1100,1200,1300,1280,1280,920,12410,93.04,5.17,11.79,23.52,61.85,62.75
187,15,4,17,3.02,490,3.183333333,900,1000,1100,1200,1280,1280,1280,900,8000,93.22,5.19,11.88,23.45,62.07,62.97
187,14.96,3.94,13,2.906666667,468.3333333,3.466666667,900,1010,1100,1200,1300,1280,1280,900,11430,92.73,5.45,12.47,23.97,61.82,62.54
187,14.95,3.88,14,3.103333333,490,3.266666667,900,1050,1160,1240,1300,1280,1280,950,12110,92.73,5.31,11.93,24.22,61.88,62.73
187,14.95,3.99,13,2.793333333,484.3333333,3.6,850,950,1100,1200,1280,1280,1280,900,11035,92.96,5.28,12.34,22.95,61.96,62.82
187,14.94,4.02,13,2.856666667,489.5,3.433333333,900,1000,1100,1200,1250,1280,1280,933.3333333,12185,92.63,5.7,11.7,23.97,61.76,62.33
187,14.92,4.1,14,3.1,489.5,3.45,900,1000,1100,1200,1300,1280,1280,926.6666667,12200,93.13,5.05,11.95,23.75,61.89,62.74
