date,CCS,Coal(KG/T),Bentonite(KG/T),Organic binder(KG,Furnance oil(LITR/T),i/m speed (m/min),Total Bed height (mm),lime + Coal(%),T1,T2,T3,T4,T5,T6,T7,T8,Fixed Carbon of Coal (%),production quantity,Tumble Index%,Abration Index%,Mean Dia(mm),Porosity Pellet%,Input Fe( Raw material)%,Output Fe(Pellets)%
21-Apr,190,14.14,6.3,443.5714286,12,3,524.8333333,2.7,900,1000,1120,1180,1260,1200,1200,1200,84.86,13010,93.39,4.87,12.36,23.9,62.74,63.41
17-Apr,192,14.21,6.15,400,12,3.04,508,3.3,900,1000,1120,1180,1270,1200,1200,1200,86.37333333,13015,93.38,5.16,12.57,24.26,62.78,63.54
16-Apr,194,14.21,6.22,,12,3.04,511.8333333,3.2,900,1000,1120,1180,1270,1200,1200,1200,70.67,13020,93.5,4.89,12.38,23.72,62.99,63.61
15-Apr,193,14.25,6.28,,12,3,510.3333333,3.3,900,1000,1120,1180,1270,1200,1200,1200,72.56,13050,93.37,4.85,12.45,23.41,63.04,63.82
18-Apr,195,14.17,6.13,,11,3,507.6666667,3.3,900,1000,1120,1180,1270,1200,1200,1200,84.33,13060,93.39,5.01,12.36,24.16,62.75,63.53
14-Apr,194,12.9,6.11,,12,3,513.5,3.3,900,1000,1000,1120,1180,1270,1200,1200,73.79,13100,92.88,5.36,12.45,23.64,62.92,63.6
13-Apr,195,12.89,6.18,,13,3,506,3.3,900,1000,1120,1180,1270,1200,1200,1200,69.86,13110,93.38,5.02,12.56,22.92,62.92,63.65
5/28/2023,200,13.9,5.63,0,15.08,2.97,471,3.75,900,1020,1120,1170,1260,1200,1200,1190,81.18,11005,92.85,5.31,12.33,24.05,62.63,63.13
07-11-2023,200,12.57,3.95,700,14.8,2.93,477.6666667,3,930,1030,1140,1170,1300,1210,1210,1190,0,11140,93.88,4.6,12.36,23.84,62.41,63.5
07-12-2023,198,11.74,4.14,650,14.42,2.896666667,485,2.85,930,1030,1140,1170,1300,1210,1210,1190,83.21,11585,93.44,4.89,11.95,23.72,62.54,63.58
19-Apr,193,14.21,6.07,,11,3.15,500.6666667,3,900,1000,1120,1180,1270,1200,1200,1190,85.31,13020,93.41,5.07,12.5,23.92,62.75,63.6
07-09-2023,203,11.93,6.02,0,17.69,2.59,471.6666667,3,930,1030,1140,1170,1300,1210,1210,1186.666667,83.6,9805,93.49,4.87,12.44,23.7,62.55,63.27
5/31/2023,198,13.82,6.03,0,13.77,3.07,443.1666667,3.65,910,1020,1130,1170,1260,1200,1200,1186.666667,84.88,11285,93.6,4.62,12.32,22.48,62.52,63.39
06-Apr,195,11,4.61,,12,2.826666667,501,3.533333333,913.3333333,1016.666667,1120,1200,1252,1280,1200,1183.333333,,5635,92.69,5.33,12.42,22.96,62.62,63.31
